academic_year,program_year,agency_name,prepared_for_practice,learning_goals_met,most_helpful,least_helpful,recommend,recommend_reason,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,supervision_frequency,supervision_quality,comments_supervisor,felt_prepared,other_comments
2017-2018,bsw,Paxson Elementary School,strongly agree,strongly agree,"what was most educational about my practicum agency was that completing projects i wanted was never without challenges, which forced me to work around roadblocks. this was a great way to understand how prevention often works in social work and challenged me to persevere when things didn't go as planned or were easily accomplished.","the least educational thing about my practicum was that i did not work with clients, so i did not gain any experience in that aspect of social work.",yes,i would recommend this practicum placement to another student because it is a great learning environment with people who support your growth as a social worker. i learned valuable skills in prevention and working with others. i loved working at the micro level of social work and understanding how the university system works as a whole.,somewhat agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat disagree,strongly agree,strongly agree,,strongly agree,i had a great first practicum experience. the peace project was a valuable agency on campus that taught me so many educational lessons about social work and gave me a valuable perspective on how i want to be as a social worker going forward.
2017-2018,bsw,Winds Of Change Mental Health Center,somewhat agree,strongly agree,"working with clients who have experienced trauma, and learning how to navigate their experience.","nothing, i learned something new everyday.",yes,,somewhat agree,strongly agree,strongly agree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,strongly agree,strongly agree,strongly agree,she was always available by phone with quick answers and guidance.,strongly agree,
2017-2018,specialization,Intermountain,somewhat disagree,neither agree nor disagree,"i learned a lot through case management, service coordination, and connecting clients with community resources. i could see how assessment, intervention, and evaluation work together.",,yes,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were case management, advocacy.",neither agree nor disagree,somewhat agree,strongly agree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,"there were weeks when supervision felt rushed, which limited deeper reflection.",strongly agree,overall this was a meaningful practicum and helped me clarify my future field interests.
2018-2019,bsw,Curry Health Center,neither agree nor disagree,strongly agree,i learned a lot from community-based research and how it can support social planning and advocacy. it also reinforced a person-in-environment perspective.,the least helpful part was having fewer opportunities for direct service than expected.,no,"i would only recommend this setting if a student is highly independent, because the learning structure was not always clear. the main concerns were less direct practice, remote isolation.",somewhat disagree,somewhat agree,neither agree nor disagree,strongly agree,somewhat agree,strongly agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,strongly agree,,somewhat agree,i grew in confidence and appreciated the agency's commitment to student learning.
2018-2019,bsw,Cameron R-1 School District,strongly agree,strongly agree,capacity building and outreach work helped me think about sustainable development and long-term systems change. it connected well with social justice and self-determination.,frequent changes in agency needs occasionally interrupted my learning flow.,yes,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were community organization, capacity building.",somewhat agree,strongly agree,strongly agree,strongly agree,somewhat agree,somewhat disagree,strongly agree,strongly agree,somewhat agree,somewhat agree,somewhat agree,,somewhat agree,more structured onboarding and written expectations would strengthen the experience for future students.
2018-2019,generalist,St. Patrick Hospital,somewhat agree,somewhat agree,the most helpful part was practicing group facilitation in a supportive setting.,"the work was valuable but emotionally intense, especially during crisis-heavy periods.",no,"this placement had strengths, but i would be cautious recommending it unless a student is comfortable with ambiguity and limited direct support. the main concerns were documentation burden, relapse complexity.",somewhat disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,strongly disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly agree,somewhat agree,i would have benefited from more consistent supervision and clearer feedback on my performance.,strongly agree,
2021-2022,generalist,St. Patrick Hospital,strongly agree,strongly agree,each of the social workers that i worked with had a wealth of knowledge that i could learn from. they were all very welcoming and made me feel as if i were a member of their social service team.,the research piece of my learning agreement was more challenging as i had a harder time finding some of the information i needed from the agency. it was not easily searchable on their website.,yes,,strongly agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,,strongly agree,
2021-2022,generalist,Big Sky Palliative & Hospice,strongly agree,somewhat agree,i appreciated the times i was able to shadow the social workers. being able to facilitate expressive arts groups on campus surrounding grief was really informative and helped me learn a lot.,"the agency did not allow students into the charting software, which ultimately barred us from actively engaging in direct social work practice with patients and families.",no,"i think this agency was experiencing a lot of growth and staff were too busy to provide as meaningful as a practicum experience as i would have hoped. i never felt very integrated into the agency, and felt that the director or people above my field instructor were not familiar with the role of a practicum student.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,"my afi at this site was really dedicated to trying to co-create a meaningful practicum experience. you can tell she cared deeply about the students she mentors and has a lot of wisdom to share surrounding her work. however, she was also incredibly busy and honestly deeply impacted by the state of the country after the election.",strongly agree,
2021-2022,generalist,Poverello Center Inc,strongly agree,somewhat agree,"in general i feel like it was really nice to have a couple of other practicum students on site that i could work with on specific tasks; that was my favorite part of the practicum overall, being able to bounce ideas off of other students and work with them on group projects to improve the agency.","i think in general it has just been a bit chaotic for a couple of months due to the announcement of the closure of the johnson street shelter and impending staff layoffs. the uncertainty around my job security has been a bit stressful at times, so in that sense the lack of clarity has been unhelpful. but that hasn't had too much of an impact on my practicum.",yes,"there are lots of opportunities to contribute to the poverello center's mission and you have a lot of freedom to structure your practicum. i have found the staff to be very open to ideas and suggestions for practicum-related tasks and projects. if you're self-motivated and looking for a practicum site where you can be creative in how you do your work, i think the poverello center is a good fit.",somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,strongly agree,somewhat agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,i found my supervision was consistent and useful for determining the direction of my practicum. i felt generally prepared and able to tackle my practicum tasks largely because my afi was good at communicating expectations and setting up time to talk with me when i had concerns or questions.,strongly agree,i'm hoping to be able to continue my practicum at the poverello center next year if possible!
2021-2022,generalist,Crime Victim Advocate Program,neither agree nor disagree,somewhat disagree,my afi gave me a lot of flexibility to work on projects outside of my typical job duties.,"my job/practicum was emotionally exhausting for me, which made it difficult for me to engage in many opportunities to learn more than what i already knew, entering the school year. consistent misgendering made it difficult to focus on my work.",no,i would not recommend this practicum to other trans and/or nonbinary students. the agency struggled with using my pronouns correctly.,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat disagree,somewhat disagree,strongly agree,somewhat agree,somewhat disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,,strongly agree,
2021-2022,generalist,Vocational Rehab,strongly agree,strongly agree,"my supervisor at vr has been amazing, always challenging me to think critically, engage ethically and with curiosity, and to ask every question i might have.",,yes,,strongly agree,strongly agree,strongly agree,somewhat agree,strongly agree,somewhat agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,,somewhat agree,"the site supervisor represents the experience i would like all practicum students to experience.  she pushed the element of critical thinking about client cases and community engagement, offering space for all questions, concerns, and ideas."
2021-2022,generalist,Western Montana Mental Health Center,somewhat agree,strongly agree,"the combination of  practice with individuals and the skills that come along with it, and the training that helps me understand systemic/community barriers. small team and ability to have frequent conversations about what is and isn't working with clients. time to read and do trainings that are relevant to this field.",lack of coordination/organization between agencies within the community. uncertainty about frameworks and procedures.,yes,"variety in each day that allows for a broad scope of learning opportunities. ability to coordinate with other agencies helps me to see the larger picture of issues and possibilities. working with this population allows me to practice with a broad range of issues (homelessness, policy, community organizing, addiction, mental health).",somewhat agree,somewhat agree,strongly agree,strongly agree,somewhat agree,somewhat agree,strongly agree,neither agree nor disagree,strongly agree,somewhat agree,somewhat agree,,strongly agree,
2021-2022,generalist,La Family Housing,somewhat agree,somewhat disagree,the direct interaction with clients was the most helpful as well as the facilitation of group activities.,there was a lack of structure and/or guidance when it came to fulfilling some of the competencies.,yes,"overall, it was a positive experience and very friendly environment for a social work student.",somewhat agree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat disagree,somewhat agree,somewhat agree,neither agree nor disagree,"again, i felt that i could have used a bit more guidance when it came to specific competencies.",neither agree nor disagree,
2021-2022,generalist,Missoula Interfaith Collaborative,somewhat agree,somewhat agree,"the most helpful or educational aspect of my practicum was the supervision provided, as well as the collaborative spirit of the team. another aspect i really appreciated was the monthly secondary trauma and community building trainings.","the aspect of my practicum that was lease helpful or educational was the lack of instruction. i understand some people would thrive in that environment, and i made the most out of it, but i wish there was more of a specific role for me to jump into.",yes,"i would recommend my practicum agency to another student because of the positivity and understanding of my coworkers, the relationships made with clients, and the strong supervision.",somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,strongly disagree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,strongly agree,"my supervisor is a very to the point person, but i really enjoyed being able to learn and grow from it.",somewhat agree,"the last month or so of my practicum, my role was completely shifted. i was asked to take lead in a role that i believe should have taken much more time. the role was a temporary position for me, as another person was being hired to take over, so i felt slightly taken advantage of. i did agree to take on the position, so perhaps i could have put up a better boundary. when i experienced a major loss the last couple weeks of the semester, i had to really double down at my practicum to 'finish' the job, while also trying to take care of myself, and felt very overwhelmed with navigating my grief, school, and an intense new role, while attending to my previous clients. ."
2021-2022,generalist,International Rescue Committee,strongly agree,strongly agree,"they provided intensive training about their programs, which set students up for success and gave them many opportunities to gain hands-on experiences. this was the most helpful!","many clients are working, so meeting with clients will require students to be flexible. students may need to meet clients outside of regular work hours, which can pose a challenge for some.",yes,"the practicum site provides students with many opportunities for professional growth, and students will gain a great deal from it.",strongly agree,strongly agree,somewhat agree,somewhat agree,strongly agree,somewhat disagree,strongly agree,somewhat agree,strongly agree,strongly agree,strongly agree,"my afi has been a great resource, the best guide, and my big supporter. i have learned so much from her, and her help has truly shaped my journey here in irc.",strongly agree,"although i may encounter some challenges due to the impact of federal policy on this practicum, i only have good things to say about my experiences here."
2021-2022,generalist,Logan Health Medical Center,somewhat agree,strongly agree,"understanding the importance of the multidisciplinary collaboration to support clients in acute crisis has been rewarding. not only do i know the roles of social workers, rns, mhts, and psychiatrists, i learned how to advocate for clients in a fast paced, environment. i also have learned how to navigate ethical tensions, and learning to balance work-life balance. it was eye-opening to see the systems level and the need to bridge inpatient care with community support! i started this practicum living in a new city, and learning what the community has to offer for its patients was crucial in my development.","due to the fast-paced nature of inpatient psychiatric care, much of the work is short term with stabilization being the top priority. i understand and agree that stabilization is important, sometimes i felt like there wasn't enough time for me to truly build rapport, or witness long term client process. i love the past paced nature, so this is the only thing that comes to mind!",yes,"yes! this practicum has deepened my understanding of systemic barriers individuals with mental health crisis face- whether that is those who are unhoused, struggle with substance use, or compounding risk factors, involvement with criminal justice system. this job opportunity provided me with clinical experience i might've not otherwise witnessed. it also has fostered a deep sense of empathy and commitment to my community. i also learned how interprofessional collaboration works and how important teamwork is for patient success.",strongly agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,somewhat disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,"mandie has gone above and beyond for the development of not only my success but my coworkers! she has made my experience with lhbh unforgettable. she always had an open door and answered any questions that came up. supervision has helped me navigate difficult situations on the unit including becoming more confident in my voice, hipaa policies, trauma informed care, navigating clients in crisis, and the important of taking care of ourselves outside of work.",strongly agree,n/a
2022-2023,generalist,Trailhead Therapy & Mentoring,strongly agree,somewhat agree,family systems thinking helped me understand the broader context of assessment and support planning.,documentation sometimes felt repetitive and took time away from direct learning.,yes,"i would recommend this placement because it supported my growth in ethical decision-making, documentation, and engagement with clients and systems. the strongest areas were family systems, community resources.",strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,somewhat disagree,somewhat agree,somewhat agree,somewhat agree,strongly agree,somewhat agree,,somewhat disagree,
2022-2023,generalist,"Center For Children, Families And Workforce Development",strongly agree,somewhat agree,family systems work was very helpful because it showed me how relationships and context shape intervention. it also reinforced a person-in-environment perspective.,documentation sometimes felt repetitive and took time away from direct learning.,no,"the agency offered some good exposure, but i would hesitate to recommend it broadly because supervision and feedback were variable. the main concerns were limited policy exposure, transport logistics.",somewhat agree,strongly agree,somewhat agree,strongly agree,neither agree nor disagree,strongly disagree,strongly agree,strongly agree,somewhat agree,strongly agree,somewhat agree,"my supervisor was available, supportive, and modeled ethical decision-making and professional boundaries.",strongly disagree,
2024-2025,generalist,"Emily Wish, Llc",somewhat agree,strongly agree,being able to bound ideas off social workers and counselors and to get their advice and direction.,lack of direction with charting and intakes.,yes,it's a positive learning environment with room for growth and it's motivating.,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,neither agree nor disagree,strongly agree,strongly agree,somewhat agree,i feel that she was a bit judgemental and jumped to conclusions.,somewhat disagree,i'm ready for my next year and to just keep moving forward!
2024-2025,generalist,Connections Corrections Program,somewhat agree,neither agree nor disagree,having an agency that is not fully formed did lead to an interesting learning curve.,i feel that having an afi that is not a social worker nor does not have the inclination to be immersed in the nasw code of ethics makes it a little difficult to fully communicate some of the different nuances of the learning agreement with them.,no,i feel like the experience i had was not necessarily all bad but there was a point where i felt that i was being demoralized and there was some blame shifting without a conversation.,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,strongly agree,somewhat disagree,neither agree nor disagree,somewhat disagree,somewhat agree,neither agree nor disagree,i felt more value and belonging with the msw supervisor than the afi.,somewhat agree,it would be nice if the entire field education team felt responsive and compassionate in their responses. there is a lot going on when gaining an msw so having someone who is not compassionate makes it a barrier to reaching out.
2024-2025,generalist,Women's Resource Center,somewhat agree,somewhat agree,"i found a few things helpful about my practicum. first, i interacted with a lot of clients who were in the lowest moments, not knowing what they would do next. it was beneficial to continuously engage in the problem-solving process. additionally, i felt it was helpful to be involved in the day-to-day functioning of a nonprofit organization, as we are not limited to one role.","i found each day at the organization helpful, and i don't really have a solid answer about what was least helpful.",yes,"even if the student is not interested in eventually working with survivors of dv/sa, any exposure to working with people during moments of distress will be helpful.",somewhat agree,strongly agree,strongly agree,neither agree nor disagree,somewhat agree,strongly agree,strongly agree,somewhat agree,somewhat agree,strongly agree,strongly agree,"izzi is super knowledgeable and a great problem solver. it was extremely beneficial to see the way she goes about helping clients solve problems. additionally, she has extensive knowledge of local, state, and national policies and programs that are helpful as she engages with clients.",strongly agree,
2024-2025,generalist,Partners In Home Care,strongly agree,strongly agree,i had very good support from my afi and access to the electronic health chart to learn appropriate documentation.,patient load was fairly light but it enabled me to spend alot of time learning what medicare and medicaid in home services pay for.,yes,"yes, because medical social work is a field many social worker do not understand until they engage in social work in a hospital setting.",somewhat agree,strongly agree,somewhat agree,strongly agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,somewhat agree,strongly agree,strongly agree,,strongly agree,
2024-2025,generalist,On Target Aba,neither agree nor disagree,somewhat agree,"one of the most educational aspects of my practicum at on target aba has been gaining a deeper understanding of how to implement trauma-informed care and motivational interviewing (mi) within aba therapy. observing how staff engage with children on the autism spectrum, as well as their families and school teams, has highlighted the importance of collaboration and individualized support. i have also learned that incorporating clients in their own behavior plans leads to better outcomes, though this may be case by case. additionally, working directly with families has reinforced the value of active listening and patience, especially when navigating challenging behaviors or discussing progress.","one of the more challenging parts of my practicum at on target aba has been navigating the balance between aba’s structured approach and my own values around client-centered care. i’ve seen how involving clients in their own behavior plans leads to better outcomes, but not everyone seems open to that idea. there are also moments when the focus on compliance feels a little at odds with approaches like empowerment and self-determination, which i really value. it’s been frustrating at times, but it’s also made me think more critically about how to bridge the gap between aba and a more holistic, strengths-based perspective.",yes,"yes, i’d recommend my practicum agency to another student with similar goals, but with a few things to keep in mind. on target aba offers great hands-on experience working with children on the autism spectrum, plus a chance to build clinical skills and see how behavior plans play out in real life. it’s also a great place to learn how to work with families and school teams. that said, the structured nature of aba can sometimes feel a bit rigid, especially if you’re more drawn to client-centered or strengths-based approaches.",neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,,somewhat agree,
2024-2025,specialization,Franklin Pierce School District,strongly agree,somewhat agree,"working with immigrant families at the family resource center taught me about the challenges they face, like accessing resources and building connections. it improved my cultural awareness, communication skills, and ability to help families find the support they need.","there wasn’t anything at the family resource center that i found unhelpful or not educational. every experience contributed to my learning, whether through direct practice, observation, or reflection.",yes,"the family resource center is a great practicum site for social work students interested in community resources, as it provides direct experience in connecting families to services, navigating systems, and supporting diverse populations. it builds key skills in cultural awareness and communication.",somewhat agree,strongly agree,somewhat agree,strongly agree,somewhat agree,strongly agree,strongly agree,somewhat agree,somewhat agree,strongly disagree,strongly agree,"throughout my practicum at the family and community partnership office, claudia’s expertise has been invaluable in shaping my professional growth. her constructive feedback has refined my skills and encouraged new strategies for effective engagement. her mentorship has strengthened my commitment to providing high-quality service in my future practice.",somewhat agree,
2014-2015,bsw,Curry Health Center,neither agree nor disagree,neither agree nor disagree,"the most helpful piece was seeing how assessment, case management, and advocacy fit together in everyday practice.",the least helpful part was having limited direct clinical exposure.,yes,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were social justice, advocacy.",neither agree nor disagree,somewhat agree,somewhat agree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,i would have benefited from more consistent supervision and clearer feedback on my performance.,strongly disagree,
2014-2015,generalist,Empowermt,neither agree nor disagree,somewhat agree,working with social indicators helped me see how data can support social planning and policy recommendations. it strengthened my understanding of generalist practice across systems.,"the placement was useful, but client contact was more limited than i expected.",yes,"i would recommend this placement because it offered strong supervision, meaningful learning opportunities, and clear integration of social work values into practice. the strongest areas were research practice, community-based research.",somewhat agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,strongly agree,strongly agree,"my supervisor was available, supportive, and modeled ethical decision-making and professional boundaries.",strongly disagree,i would have liked a more formal orientation at the start of placement.
2014-2015,specialization,Imperial County Behavioral Health,neither agree nor disagree,somewhat agree,i learned a lot from group facilitation and observing how group dynamics affect participation. it strengthened my understanding of generalist practice across systems.,"the work was valuable but emotionally intense, especially during crisis-heavy periods.",yes,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were rapport-building, harm reduction.",somewhat agree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat agree,neither agree nor disagree,strongly agree,somewhat agree,somewhat agree,strongly agree,strongly agree,,somewhat disagree,
2015-2016,bsw,The Salvation Army,neither agree nor disagree,somewhat agree,"supervision was especially helpful because it linked theory, ethics, and real case discussion. it also reinforced a person-in-environment perspective.",the least helpful part was managing virtual platforms and documentation across systems.,no,"i would not strongly recommend this placement for every student because the structure and supervision were inconsistent for my learning needs. the main concerns were remote communication, limited in-person observation.",somewhat agree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,strongly agree,"supervision was one of the strongest parts of the practicum because i received clear guidance, accountability, and encouragement.",somewhat disagree,
2015-2016,bsw,Mental Health Coalition Of Teton Valley,neither agree nor disagree,somewhat agree,i appreciated that i could learn crisis support and resource referrals and then debrief after.,the least helpful part was that check-ins were not steady enough for the amount of responsibility.,no,i would not recommend this placement because there was not enough support or structure from supervision.,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,"my afi was supportive in some moments, though check-ins were often delayed. meetings were too infrequent for the amount of support i needed and support was weaker than it should have been.",somewhat disagree,"there was learning here, but it really depended on the week"
