academic_year,agency_name,agency_name_display,comments_supervisor,least_helpful,most_helpful,other_comments,recommend_reason
2022-2023,"center for children, families and workforce development","Center For Children, Families And Workforce Development","my supervisor was available, supportive, and modeled ethical decision-making and professional boundaries.",documentation sometimes felt repetitive and took time away from direct learning.,family systems work was very helpful because it showed me how relationships and context shape intervention. it also reinforced a person-in-environment perspective.,,"the agency offered some good exposure, but i would hesitate to recommend it broadly because supervision and feedback were variable. the main concerns were limited policy exposure, transport logistics."
2024-2025,"emily wish, llc","Emily Wish, Llc",i feel that she was a bit judgemental and jumped to conclusions.,lack of direction with charting and intakes.,being able to bound ideas off social workers and counselors and to get their advice and direction.,i'm ready for my next year and to just keep moving forward!,it's a positive learning environment with room for growth and it's motivating.
2024-2025,connections corrections program,Connections Corrections Program,i felt more value and belonging with the msw supervisor than the afi.,i feel that having an afi that is not a social worker nor does not have the inclination to be immersed in the nasw code of ethics makes it a little difficult to fully communicate some of the different nuances of the learning agreement with them.,having an agency that is not fully formed did lead to an interesting learning curve.,it would be nice if the entire field education team felt responsive and compassionate in their responses. there is a lot going on when gaining an msw so having someone who is not compassionate makes it a barrier to reaching out.,i feel like the experience i had was not necessarily all bad but there was a point where i felt that i was being demoralized and there was some blame shifting without a conversation.
2024-2025,women's resource center,Women's Resource Center,"izzi is super knowledgeable and a great problem solver. it was extremely beneficial to see the way she goes about helping clients solve problems. additionally, she has extensive knowledge of local, state, and national policies and programs that are helpful as she engages with clients.","i found each day at the organization helpful, and i don't really have a solid answer about what was least helpful.","i found a few things helpful about my practicum. first, i interacted with a lot of clients who were in the lowest moments, not knowing what they would do next. it was beneficial to continuously engage in the problem-solving process. additionally, i felt it was helpful to be involved in the day-to-day functioning of a nonprofit organization, as we are not limited to one role.",,"even if the student is not interested in eventually working with survivors of dv/sa, any exposure to working with people during moments of distress will be helpful."
2024-2025,partners in home care,Partners In Home Care,,patient load was fairly light but it enabled me to spend alot of time learning what medicare and medicaid in home services pay for.,i had very good support from my afi and access to the electronic health chart to learn appropriate documentation.,,"yes, because medical social work is a field many social worker do not understand until they engage in social work in a hospital setting."
2024-2025,on target aba,On Target Aba,,"one of the more challenging parts of my practicum at on target aba has been navigating the balance between aba’s structured approach and my own values around client-centered care. i’ve seen how involving clients in their own behavior plans leads to better outcomes, but not everyone seems open to that idea. there are also moments when the focus on compliance feels a little at odds with approaches like empowerment and self-determination, which i really value. it’s been frustrating at times, but it’s also made me think more critically about how to bridge the gap between aba and a more holistic, strengths-based perspective.","one of the most educational aspects of my practicum at on target aba has been gaining a deeper understanding of how to implement trauma-informed care and motivational interviewing (mi) within aba therapy. observing how staff engage with children on the autism spectrum, as well as their families and school teams, has highlighted the importance of collaboration and individualized support. i have also learned that incorporating clients in their own behavior plans leads to better outcomes, though this may be case by case. additionally, working directly with families has reinforced the value of active listening and patience, especially when navigating challenging behaviors or discussing progress.",,"yes, i’d recommend my practicum agency to another student with similar goals, but with a few things to keep in mind. on target aba offers great hands-on experience working with children on the autism spectrum, plus a chance to build clinical skills and see how behavior plans play out in real life. it’s also a great place to learn how to work with families and school teams. that said, the structured nature of aba can sometimes feel a bit rigid, especially if you’re more drawn to client-centered or strengths-based approaches."
2024-2025,franklin pierce school district,Franklin Pierce School District,"throughout my practicum at the family and community partnership office, claudia’s expertise has been invaluable in shaping my professional growth. her constructive feedback has refined my skills and encouraged new strategies for effective engagement. her mentorship has strengthened my commitment to providing high-quality service in my future practice.","there wasn’t anything at the family resource center that i found unhelpful or not educational. every experience contributed to my learning, whether through direct practice, observation, or reflection.","working with immigrant families at the family resource center taught me about the challenges they face, like accessing resources and building connections. it improved my cultural awareness, communication skills, and ability to help families find the support they need.",,"the family resource center is a great practicum site for social work students interested in community resources, as it provides direct experience in connecting families to services, navigating systems, and supporting diverse populations. it builds key skills in cultural awareness and communication."
2014-2015,curry health center,Curry Health Center,i would have benefited from more consistent supervision and clearer feedback on my performance.,the least helpful part was having limited direct clinical exposure.,"the most helpful piece was seeing how assessment, case management, and advocacy fit together in everyday practice.",,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were social justice, advocacy."
2014-2015,empowermt,Empowermt,"my supervisor was available, supportive, and modeled ethical decision-making and professional boundaries.","the placement was useful, but client contact was more limited than i expected.",working with social indicators helped me see how data can support social planning and policy recommendations. it strengthened my understanding of generalist practice across systems.,i would have liked a more formal orientation at the start of placement.,"i would recommend this placement because it offered strong supervision, meaningful learning opportunities, and clear integration of social work values into practice. the strongest areas were research practice, community-based research."
2014-2015,imperial county behavioral health,Imperial County Behavioral Health,,"the work was valuable but emotionally intense, especially during crisis-heavy periods.",i learned a lot from group facilitation and observing how group dynamics affect participation. it strengthened my understanding of generalist practice across systems.,,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were rapport-building, harm reduction."
2015-2016,the salvation army,The Salvation Army,"supervision was one of the strongest parts of the practicum because i received clear guidance, accountability, and encouragement.",the least helpful part was managing virtual platforms and documentation across systems.,"supervision was especially helpful because it linked theory, ethics, and real case discussion. it also reinforced a person-in-environment perspective.",,"i would not strongly recommend this placement for every student because the structure and supervision were inconsistent for my learning needs. the main concerns were remote communication, limited in-person observation."
2015-2016,mental health coalition of teton valley,Mental Health Coalition Of Teton Valley,"my afi was supportive in some moments, though check-ins were often delayed. meetings were too infrequent for the amount of support i needed and support was weaker than it should have been.",the least helpful part was that check-ins were not steady enough for the amount of responsibility.,i appreciated that i could learn crisis support and resource referrals and then debrief after.,"there was learning here, but it really depended on the week",i would not recommend this placement because there was not enough support or structure from supervision.
2015-2016,sheridan memorial hospital,Sheridan Memorial Hospital,"my afi was available, thoughtful, and gave clear feedback",not enough check-ins with my afi. there were slow periods with fewer tasks,"some parts of the placement were helpful and some were not. communication was usually fine, but there were stretches with little feedback",,"i could recommend it, but it depends on who is supervising and what role is available"
2015-2016,curry health center,Curry Health Center,my afi was hard to reach and supervision felt minimal. supervision got pushed back too often and the structure around supervision was not strong.,the least helpful part was that i had too much admin work and not enough hands-on practice.,the most helpful part was that the day-to-day work around health fairs and care navigation helped build my confidence. it gave me a better sense of macro practice.,"i gained useful experience, even though the structure was uneven. clearer student expectations would help.",i cannot recommend this site right now because training was thin and the student role felt underplanned
2015-2016,united way of the lewis and clark area,United Way Of The Lewis And Clark Area,"my afi checked details closely but did not always explain the why. support was weaker than it should have been. i got frequent feedback, but not much room to develop my own style.",one frustration was that i had a hard time knowing if i was meeting expectations.,"i appreciated that i could learn documentation, case management, and home visits and then debrief after.",i can see this site being a good fit for some students and not others,"i would recommend it with some caution because the supervision was useful, even though it was not perfect, but there was still solid learning there."
2015-2016,bridgercare,Bridgercare,"my afi wanted everything done a certain way, which made it harder to build confidence. the structure around supervision was not strong. i got frequent feedback, but not much room to develop my own style.",what was hardest for me was that i had too much admin work and not enough hands-on practice.,"i appreciated that i had real exposure to advocacy, community outreach, and resource coordination.","the practicum was not all bad, but it needed more intentional planning","i would still recommend it for the right student because i grew in confidence over the course of the practicum, but it was not perfect, but there was still solid learning there."
2015-2016,missoula food bank,Missoula Food Bank,"my field instructor gave decent feedback, but supervision was inconsistent. meetings were too infrequent for the amount of support i needed and the structure around supervision was not strong.","honestly, the least helpful part was that i needed more client contact and fewer office tasks. it made the practicum feel more reactive than educational.",i appreciated that i had real exposure to documentation and case management.,"honestly, i do not think students should have to figure out this much out on their own","honestly, i would not recommend this placement because supervision was too inconsistent to support student learning well."
2017-2018,center for restorative youth justice,Center For Restorative Youth Justice,"my supervisor was professional, calm, and open to questions. check-ins happened regularly and questions were welcome.",the least helpful part was that i wanted more direct practice instead of mostly observation.,i appreciated that i got to work on case management and resource navigation and connect class content to practice.,i can see this site being a good fit for some students and not others,"i would still recommend it for the right student because the supervision was useful, but i would have liked a little more structure in the student role."
2017-2018,missoula police department,Missoula Police Department,"my afi did try to help, but expectations changed and meetings were not steady. the structure around supervision was not strong. i often needed more direction than i got.",what was hardest for me was that i needed more client contact and fewer office tasks.,i appreciated that i got to work on school coordination and family outreach and connect class content to practice. i could actually see how classroom material shows up in practicum.,"there was learning here, but it really depended on the week","i would still recommend it for the right student because the site helped me build practice skills that felt transferable, but it is probably best for students who can tolerate some flexibility."
2017-2018,the refuge,The Refuge,"my afi did not invite many questions, so i held back more than i should have. support was weaker than it should have been.",least helpful for me was that a lot of my time went to paperwork instead of actual practice,i appreciated that i had real exposure to case management and safety planning,there needs to be more structure for students before i would call this a strong placement,"i would still recommend it for the right student because i had meaningful opportunities with documentation and intakes, but i would have liked a little more structure in the student role"
2017-2018,rimrock foundation,Rimrock Foundation,my supervisor was hard to reach and supervision felt minimal. it was hard to schedule supervision consistently and expectations were not very clear.,one frustration was that i wanted more direct practice instead of mostly observation. it made the practicum feel more reactive than educational.,"i appreciated that i had real exposure to home visits, cps coordination, and parent coaching. it gave me a better sense of direct practice.",the field liaison ended up being more helpful than the site when problems came up,i cannot recommend this site right now because there was too little hands-on practice for the amount of time there.
2017-2018,"center for children, families and workforce development","Center For Children, Families And Workforce Development",my supervisor was often unavailable when i needed clarification. i did not get enough guidance to feel grounded.,the least helpful part was that feedback came too late to be useful some weeks.,"the most helpful part was that i could learn release coordination, community referrals, and reentry planning and then debrief after.","the practicum was not all bad, but it needed more intentional planning","i would recommend it with some caution because i got useful exposure to justice and corrections and community work, even though it is probably best for students who can tolerate some flexibility."
2017-2018,crosswinds recovery,Crosswinds Recovery,"i got useful feedback at times, though support depended on how busy the week was",,"i learned a lot about macro practice, even though the structure was uneven at times",i learned meaningful things but the placement would benefit from stronger structure,i would not recommend this placement because the support and learning opportunities were too inconsistent
2017-2018,empowermt,Empowermt,"honestly, my field instructor did try to help, but expectations changed and meetings were not steady. support was weaker than it should have been.",the least helpful part was that i was often shadowing when i needed more chances to try skills myself.,"what helped me most was that i got to work on support groups, home visits, and aps coordination and connect class content to practice.","honestly, there was learning here, but it really depended on the week",i would not recommend this placement because i do not think the site is set up well for students right now.
2017-2018,crisis text line,Crisis Text Line,my afi did not provide enough feedback for me to know how i was doing. i needed more regular meetings than i received and feedback was limited and often too vague. the practicum would have been stronger with steadier supervision.,least helpful for me was that i wanted more direct practice instead of mostly observation. it made the practicum feel more reactive than educational.,what helped me most was that i was included in interagency meetings and workflow mapping instead of only observing.,the field liaison ended up being more helpful than the site when problems came up. the team was kind even when the structure was weak.,i would not recommend this placement because i needed more direct practice and less busy work.
2017-2018,child and family service department,Child And Family Service Department,"my supervisor gave decent feedback, but supervision was inconsistent. i did not get enough guidance to feel grounded.",what was hardest for me was that training felt thin and i was expected to figure out too much on my own.,what helped me most was that i was included in resource referrals and case management instead of only observing.,"honestly, the practicum was not all bad, but it needed more intentional planning","i would recommend it with some caution because i grew in confidence over the course of the practicum, even though it would still help to have clearer expectations at the start."
2017-2018,rimrock foundation,Rimrock Foundation,my field instructor did not provide enough feedback for me to know how i was doing. supervision got pushed back too often and expectations were not very clear. i often needed more direction than i got.,least helpful for me was that i had too much admin work and not enough hands-on practice. i spent too much time guessing what i should be doing.,"for me, the biggest help was that the day-to-day work around family support, resource navigation, and program planning helped build my confidence.",there needs to be more structure for students before i would call this a strong placement,i would not recommend this placement because the practicum expected too much self-direction without enough support.
2018-2019,cameron r-1 school district,Cameron R-1 School District,,"documentation was important, but it occasionally overshadowed client interaction.",the assessment process was one of the strongest learning opportunities because i could connect person-in-environment thinking with real intervention planning.,this placement helped me connect classroom learning to practice and strengthened my professional identity.,"i would not strongly recommend this placement for every student because the structure and supervision were inconsistent for my learning needs. the main concerns were transport logistics, limited policy exposure."
2018-2019,curry health center,Curry Health Center,,remote communication was sometimes less natural than in-person collaboration.,"consistent supervision was the most helpful part of the placement because it supported reflection, accountability, and growth.",,"the agency offered some good exposure, but i would hesitate to recommend it broadly because supervision and feedback were variable. the main concerns were technology barriers, remote communication."
2018-2019,frontier behavioral health,Frontier Behavioral Health,"supervision was one of the strongest parts of the practicum because i received clear guidance, accountability, and encouragement.",the least helpful part was how often policy demands changed and redirected work.,"this placement helped me think critically about social justice, oppression, and the structural barriers affecting clients.",,"i would recommend this placement because it supported my growth in ethical decision-making, documentation, and engagement with clients and systems. the strongest areas were social justice, advocacy."
2018-2019,greater valley health center,Greater Valley Health Center,my supervisor did not create much structure for student learning. meetings were too infrequent for the amount of support i needed and i did not get enough guidance to feel grounded.,the least helpful part was that a lot of my time went to paperwork instead of actual practice.,"for me, the biggest help was that i got to work on support groups and advocacy and connect class content to practice. that part felt meaningful.","there was learning here, but it really depended on the week",i cannot recommend this site right now because i do not think the site is set up well for students right now.
2019-2020,ywca,Ywca,my supervisor helped connect practice to ethics and reflection,not enough hands-on work. there were slow periods with fewer tasks,"some parts of the placement were helpful and some were not. i got meaningful exposure, but it depended a lot on the day",,"i could recommend it, but it depends on who is supervising and what role is available it has value, but the fit depends on the placement setup"
2019-2020,sierra nevada memorial hospital,Sierra Nevada Memorial Hospital,my field instructor did not create much structure for student learning. i needed more regular meetings than i received and the structure around supervision was not strong. i often needed more direction than i got.,what was hardest for me was that i had a hard time knowing if i was meeting expectations.,what helped me most was that i was included in safety planning and resource linkage instead of only observing.,"the practicum was not all bad, but it needed more intentional planning","no, i would not recommend it in its current form because there was not enough support or structure from supervision."
